num_reg,time,KernelName,gpu-id,queue-id,queue-index,pid,tid,grd,wgr,lds,scr,arch_vgpr,accum_vgpr,sgpr,wave_size,sig,obj,Wavefronts,VALUInsts,SALUInsts,SFetchInsts,GDSInsts,VALUBusy,MemUnitStalled,FetchSize,WriteSize
768,13.308,"vector_add(float*, float*, float*, int) [clone .kd]",2,0,1,3197732,3197732,307200,64,3072,0,12,12,32,64,0x0,0x7f57429426c0,4800.0000000000,48842.1250000000,6521.4166666667,5.0000000000,0.0000000000,10.2899600255,46.8787117306,7813820.3750000000,3906250.0000000000
800,13.970726,"vector_add(float*, float*, float*, int) [clone .kd]",2,0,1,3197984,3197984,307200,64,3584,0,12,12,32,64,0x0,0x7f07827bc6c0,4800.0000000000,48842.1250000000,6521.4166666667,5.0000000000,0.0000000000,9.7433388614,41.6151426905,7813853.3125000000,3906250.0000000000
832,14.10913,"vector_add(float*, float*, float*, int) [clone .kd]",2,0,1,3198236,3198236,307200,64,3584,0,12,12,32,64,0x0,0x7f60e74386c0,4800.0000000000,48842.1250000000,6521.4166666667,5.0000000000,0.0000000000,9.7934712497,41.0457306858,7813853.3125000000,3906250.0000000000
864,14.037763,"vector_add(float*, float*, float*, int) [clone .kd]",2,0,1,3198500,3198500,307200,64,3584,0,12,12,32,64,0x0,0x7f67a385e6c0,4800.0000000000,48842.1250000000,6521.4166666667,5.0000000000,0.0000000000,9.7493934838,41.4135985567,7813838.1250000000,3906250.0000000000
896,13.990234,"vector_add(float*, float*, float*, int) [clone .kd]",2,0,1,3198756,3198756,307200,64,3584,0,12,12,32,64,0x0,0x7f710fe8a6c0,4800.0000000000,48842.1250000000,6521.4166666667,5.0000000000,0.0000000000,9.7876927353,41.1556883204,7813824.0000000000,3906250.0000000000
928,13.558245,"vector_add(float*, float*, float*, int) [clone .kd]",2,0,1,3199022,3199022,307200,64,4096,0,12,12,32,64,0x0,0x7ff4569d06c0,4800.0000000000,48842.1250000000,6521.4166666667,5.0000000000,0.0000000000,10.0523143376,39.3024162877,7813873.3125000000,3906250.0000000000
960,13.645768,"vector_add(float*, float*, float*, int) [clone .kd]",2,0,1,3199275,3199275,307200,64,4096,0,12,12,32,64,0x0,0x7f69ddbfa6c0,4800.0000000000,48842.1250000000,6521.4166666667,5.0000000000,0.0000000000,10.0774624023,40.0289968211,7813862.1875000000,3906250.0000000000
992,13.661605,"vector_add(float*, float*, float*, int) [clone .kd]",2,0,1,3199538,3199538,307200,64,4096,0,12,12,32,64,0x0,0x7f643a87a6c0,4800.0000000000,48842.1250000000,6521.4166666667,5.0000000000,0.0000000000,10.0860801289,39.2265526572,7813861.0000000000,3906250.0000000000
1024,13.756646,"vector_add(float*, float*, float*, int) [clone .kd]",2,0,1,3199801,3199801,307200,64,4096,0,12,12,32,64,0x0,0x7fa055f0a6c0,4800.0000000000,48842.1250000000,6521.4166666667,5.0000000000,0.0000000000,10.0876132495,39.2310521226,7813880.5000000000,3906250.0000000000
1088,13.695841,"vector_add(float*, float*, float*, int) [clone .kd]",2,0,1,3200055,3200055,307200,64,4608,0,12,12,32,64,0x0,0x7f85e2c0c6c0,4800.0000000000,48842.1250000000,6521.4166666667,5.0000000000,0.0000000000,10.0856917152,38.8475200178,7813902.6875000000,3906250.0000000000
1152,13.52481,"vector_add(float*, float*, float*, int) [clone .kd]",2,0,1,3200308,3200308,307200,64,4608,0,12,12,32,64,0x0,0x7fc3793bc6c0,4800.0000000000,48842.1250000000,6521.4166666667,5.0000000000,0.0000000000,10.0706167098,39.1088521059,7813902.5000000000,3906250.0000000000
1216,14.274887,"vector_add(float*, float*, float*, int) [clone .kd]",2,0,1,3200576,3200576,307200,64,5120,0,12,12,32,64,0x0,0x7f82b47b86c0,4800.0000000000,48842.1250000000,6521.4166666667,5.0000000000,0.0000000000,9.6767166884,35.3610949001,7813975.4375000000,3906250.0000000000
1280,14.250396,"vector_add(float*, float*, float*, int) [clone .kd]",2,0,1,3200821,3200821,307200,64,5120,0,12,12,32,64,0x0,0x7f6cd8baa6c0,4800.0000000000,48842.1250000000,6521.4166666667,5.0000000000,0.0000000000,9.7027887898,35.1509145159,7813960.8125000000,3906250.0000000000
1344,13.949288,"vector_add(float*, float*, float*, int) [clone .kd]",2,0,1,3201068,3201068,307200,64,5632,0,12,12,32,64,0x0,0x7f103c5e86c0,4800.0000000000,48842.1250000000,6521.4166666667,5.0000000000,0.0000000000,9.9096274278,33.0342388123,7813944.8750000000,3906250.0000000000
1408,13.836484,"vector_add(float*, float*, float*, int) [clone .kd]",2,0,1,3201340,3201340,307200,64,5632,0,12,12,32,64,0x0,0x7f68d81206c0,4800.0000000000,48842.1250000000,6521.4166666667,5.0000000000,0.0000000000,9.8802180362,32.9282274866,7813929.1250000000,3906250.0000000000
1472,13.964634,"vector_add(float*, float*, float*, int) [clone .kd]",2,0,1,3201606,3201606,307200,64,6144,0,12,12,32,64,0x0,0x7f7a15bdc6c0,4800.0000000000,48842.1250000000,6521.4166666667,5.0000000000,0.0000000000,9.7373829903,33.7370567936,7814037.2500000000,3906250.0000000000
1536,14.094965,"vector_add(float*, float*, float*, int) [clone .kd]",2,0,1,3201851,3201851,307200,64,6144,0,12,12,32,64,0x0,0x7f8e148386c0,4800.0000000000,48842.1250000000,6521.4166666667,5.0000000000,0.0000000000,9.7455210229,33.1986269084,7814013.3750000000,3906250.0000000000
1600,14.471845,"vector_add(float*, float*, float*, int) [clone .kd]",2,0,1,3202117,3202117,307200,64,6656,0,12,12,32,64,0x0,0x7efef85c86c0,4800.0000000000,48842.1250000000,6521.4166666667,5.0000000000,0.0000000000,9.4949475117,28.8096516864,7814044.2500000000,3906250.0000000000
1664,14.541922,"vector_add(float*, float*, float*, int) [clone .kd]",2,0,1,3202373,3202373,307200,64,6656,0,12,12,32,64,0x0,0x7fb3326446c0,4800.0000000000,48842.1250000000,6521.4166666667,5.0000000000,0.0000000000,9.4721212221,28.5495504855,7814050.2500000000,3906250.0000000000
1728,14.685913,"vector_add(float*, float*, float*, int) [clone .kd]",2,0,1,3202635,3202635,307200,64,7168,0,12,12,32,64,0x0,0x7fb45049c6c0,4800.0000000000,48842.1250000000,6521.4166666667,5.0000000000,0.0000000000,9.4767450828,28.5789025919,7814049.1875000000,3906250.0000000000
1792,14.511848,"vector_add(float*, float*, float*, int) [clone .kd]",2,0,1,3202902,3202902,307200,64,7168,0,12,12,32,64,0x0,0x7ff1e00a06c0,4800.0000000000,48842.1250000000,6521.4166666667,5.0000000000,0.0000000000,9.4776470410,28.8907297900,7814118.9375000000,3906250.0000000000
1856,14.569127,"vector_add(float*, float*, float*, int) [clone .kd]",2,0,1,3203150,3203150,307200,64,7680,0,12,12,32,64,0x0,0x7f37da2ac6c0,4800.0000000000,48842.1250000000,6521.4166666667,5.0000000000,0.0000000000,9.4460200180,33.1521325021,7814132.3750000000,3906250.0000000000
1920,14.427683,"vector_add(float*, float*, float*, int) [clone .kd]",2,0,1,3203403,3203403,307200,64,7680,0,12,12,32,64,0x0,0x7f22f2c9a6c0,4800.0000000000,48842.1250000000,6521.4166666667,5.0000000000,0.0000000000,9.4409944911,33.1343569926,7814223.3125000000,3906250.0000000000
1984,14.568963,"vector_add(float*, float*, float*, int) [clone .kd]",2,0,1,3203661,3203661,307200,64,8192,0,12,12,32,64,0x0,0x7f3b20c1c6c0,4800.0000000000,48842.1250000000,6521.4166666667,5.0000000000,0.0000000000,9.4237580776,32.7869102919,7814102.6875000000,3906250.0000000000
2048,14.459208,"vector_add(float*, float*, float*, int) [clone .kd]",2,0,1,3203924,3203924,307200,64,8192,0,12,12,32,64,0x0,0x7efb61d446c0,4800.0000000000,48842.1250000000,6521.4166666667,5.0000000000,0.0000000000,9.4464561810,33.0101882421,7814188.8750000000,3906250.0000000000
2176,15.056322,"vector_add(float*, float*, float*, int) [clone .kd]",2,0,1,3204169,3204169,307200,64,8704,0,12,12,32,64,0x0,0x7f2719a5a6c0,4800.0000000000,48842.1250000000,6521.4166666667,5.0000000000,0.0000000000,9.1294981153,29.7712703874,7814355.8125000000,3906250.0000000000
2304,14.963675,"vector_add(float*, float*, float*, int) [clone .kd]",2,0,1,3204415,3204415,307200,64,9216,0,12,12,32,64,0x0,0x7f2a030086c0,4800.0000000000,48842.1250000000,6521.4166666667,5.0000000000,0.0000000000,9.1405258212,29.9896098224,7814366.3125000000,3906250.0000000000
2432,15.921127,"vector_add(float*, float*, float*, int) [clone .kd]",2,0,1,3204663,3204663,307200,64,9728,0,12,12,32,64,0x0,0x7f3552a146c0,4800.0000000000,48842.1250000000,6521.4166666667,5.0000000000,0.0000000000,8.5743182849,29.0853229951,7814495.6875000000,3906250.0000000000
2560,15.797445,"vector_add(float*, float*, float*, int) [clone .kd]",2,0,1,3204920,3204920,307200,64,10240,0,12,12,32,64,0x0,0x7f947d81c6c0,4800.0000000000,48842.1250000000,6521.4166666667,5.0000000000,0.0000000000,8.5930197639,28.5055073192,7814661.1250000000,3906250.0000000000
2688,15.850241,"vector_add(float*, float*, float*, int) [clone .kd]",2,0,1,3205184,3205184,307200,64,10752,0,12,12,32,64,0x0,0x7fe8cca066c0,4800.0000000000,48842.1250000000,6521.4166666667,5.0000000000,0.0000000000,8.5951276570,28.7941791669,7814574.6875000000,3906250.0000000000
2816,17.307354,"vector_add(float*, float*, float*, int) [clone .kd]",2,0,1,3205447,3205447,307200,64,11264,0,12,12,32,64,0x0,0x7efab49ba6c0,4800.0000000000,48842.1250000000,6521.4166666667,5.0000000000,0.0000000000,7.8548855264,29.5192694190,7814684.6250000000,3906250.0000000000
2944,17.314075,"vector_add(float*, float*, float*, int) [clone .kd]",2,0,1,3205693,3205693,307200,64,11776,0,12,12,32,64,0x0,0x7fce259ec6c0,4800.0000000000,48842.1250000000,6521.4166666667,5.0000000000,0.0000000000,7.8311093888,29.7928391362,7814612.0625000000,3906250.0000000000
3072,17.307686,"vector_add(float*, float*, float*, int) [clone .kd]",2,0,1,3205946,3205946,307200,64,12288,0,12,12,32,64,0x0,0x7f3906d186c0,4800.0000000000,48842.1250000000,6521.4166666667,5.0000000000,0.0000000000,7.8420674529,29.8143567595,7814605.1250000000,3906250.0000000000
3200,17.244484,"vector_add(float*, float*, float*, int) [clone .kd]",2,0,1,3206206,3206206,307200,64,12800,0,12,12,32,64,0x0,0x7f58585a06c0,4800.0000000000,48842.1250000000,6521.4166666667,5.0000000000,0.0000000000,7.8058749830,29.9347828397,7814629.0625000000,3906250.0000000000
3328,19.711212,"vector_add(float*, float*, float*, int) [clone .kd]",2,0,1,3206455,3206455,307200,64,13312,0,12,12,32,64,0x0,0x7f14b87fc6c0,4800.0000000000,48842.1250000000,6521.4166666667,5.0000000000,0.0000000000,6.8513821345,26.2315245110,7814841.0000000000,3906250.0000000000
3456,19.638252,"vector_add(float*, float*, float*, int) [clone .kd]",2,0,1,3206715,3206715,307200,64,13824,0,12,12,32,64,0x0,0x7f5da32446c0,4800.0000000000,48842.1250000000,6521.4166666667,5.0000000000,0.0000000000,6.8717943523,25.7992736758,7814842.6875000000,3906250.0000000000
3584,19.701603,"vector_add(float*, float*, float*, int) [clone .kd]",2,0,1,3206977,3206977,307200,64,14336,0,12,12,32,64,0x0,0x7fb7145086c0,4800.0000000000,48842.1250000000,6521.4166666667,5.0000000000,0.0000000000,6.8213254836,26.3384175778,7814969.6250000000,3906250.0000000000
3712,19.688644,"vector_add(float*, float*, float*, int) [clone .kd]",2,0,1,3207226,3207226,307200,64,14848,0,12,12,32,64,0x0,0x7fd3dd9da6c0,4800.0000000000,48842.1250000000,6521.4166666667,5.0000000000,0.0000000000,6.8470018475,26.7356828056,7815020.6875000000,3906250.0000000000
3840,19.748163,"vector_add(float*, float*, float*, int) [clone .kd]",2,0,1,3207487,3207487,307200,64,15360,0,12,12,32,64,0x0,0x7fd95405c6c0,4800.0000000000,48842.1250000000,6521.4166666667,5.0000000000,0.0000000000,6.8267624364,26.9514205200,7814918.6875000000,3906250.0000000000
3968,19.719196,"vector_add(float*, float*, float*, int) [clone .kd]",2,0,1,3207733,3207733,307200,64,15872,0,12,12,32,64,0x0,0x7fef01c786c0,4800.0000000000,48842.1250000000,6521.4166666667,5.0000000000,0.0000000000,6.8445961912,26.5051528072,7815040.3125000000,3906250.0000000000
4096,19.615204,"vector_add(float*, float*, float*, int) [clone .kd]",2,0,1,3207990,3207990,307200,64,16384,0,12,12,32,64,0x0,0x7f160f5ac6c0,4800.0000000000,48842.1250000000,6521.4166666667,5.0000000000,0.0000000000,6.8326352762,26.8523787740,7814926.0000000000,3906250.0000000000
4352,23.611372,"vector_add(float*, float*, float*, int) [clone .kd]",2,0,1,3208258,3208258,307200,64,17408,0,12,12,32,64,0x0,0x7fbd89b3c6c0,4800.0000000000,48842.1250000000,6521.4166666667,5.0000000000,0.0000000000,5.6556280847,22.0370305105,7815286.1875000000,3906250.0000000000
4608,23.627848,"vector_add(float*, float*, float*, int) [clone .kd]",2,0,1,3208507,3208507,307200,64,18432,0,12,12,32,64,0x0,0x7f8ea751c6c0,4800.0000000000,48842.1250000000,6521.4166666667,5.0000000000,0.0000000000,5.6594665384,22.3220236359,7815171.5625000000,3906250.0000000000
4864,23.7325,"vector_add(float*, float*, float*, int) [clone .kd]",2,0,1,3208757,3208757,307200,64,19456,0,12,12,32,64,0x0,0x7ff7ec9fc6c0,4800.0000000000,48842.1250000000,6521.4166666667,5.0000000000,0.0000000000,5.6548150275,22.5638657793,7815322.9375000000,3906250.0000000000
5120,23.69441,"vector_add(float*, float*, float*, int) [clone .kd]",2,0,1,3209006,3209006,307200,64,20480,0,12,12,32,64,0x0,0x7f081c8b26c0,4800.0000000000,48842.1250000000,6521.4166666667,5.0000000000,0.0000000000,5.6516228444,22.3140219599,7815156.5000000000,3906250.0000000000
5376,23.605606,"vector_add(float*, float*, float*, int) [clone .kd]",2,0,1,3209259,3209259,307200,64,21504,0,12,12,32,64,0x0,0x7f7094fca6c0,4800.0000000000,48842.1250000000,6521.4166666667,5.0000000000,0.0000000000,5.6483106484,22.7819529021,7815318.8750000000,3906250.0000000000
5632,32.31089,"vector_add(float*, float*, float*, int) [clone .kd]",2,0,1,3209510,3209510,307200,64,22528,0,12,12,32,64,0x0,0x7fc0796946c0,4800.0000000000,48842.1250000000,6521.4166666667,5.0000000000,0.0000000000,4.1057519257,16.8413514542,7815582.8125000000,3906250.0000000000
5888,32.366085,"vector_add(float*, float*, float*, int) [clone .kd]",2,0,1,3209771,3209771,307200,64,23552,0,12,12,32,64,0x0,0x7f467ae1e6c0,4800.0000000000,48842.1250000000,6521.4166666667,5.0000000000,0.0000000000,4.1087237667,17.1577507222,7815681.3125000000,3906250.0000000000
6144,32.401943,"vector_add(float*, float*, float*, int) [clone .kd]",2,0,1,3210035,3210035,307200,64,24576,0,12,12,32,64,0x0,0x7fa8cdd046c0,4800.0000000000,48842.1250000000,6521.4166666667,5.0000000000,0.0000000000,4.1071989295,16.9700846435,7815654.8125000000,3906250.0000000000
6400,32.376484,"vector_add(float*, float*, float*, int) [clone .kd]",2,0,1,3210312,3210312,307200,64,25600,0,12,12,32,64,0x0,0x7fcc327106c0,4800.0000000000,48842.1250000000,6521.4166666667,5.0000000000,0.0000000000,4.1115964248,16.8748231212,7815626.6250000000,3906250.0000000000
6656,32.343369,"vector_add(float*, float*, float*, int) [clone .kd]",2,0,1,3210577,3210577,307200,64,26624,0,12,12,32,64,0x0,0x7f6aee69e6c0,4800.0000000000,48842.1250000000,6521.4166666667,5.0000000000,0.0000000000,4.1100882174,17.0994747416,7815543.1875000000,3906250.0000000000
6912,32.310734,"vector_add(float*, float*, float*, int) [clone .kd]",2,0,1,3210834,3210834,307200,64,27648,0,12,12,32,64,0x0,0x7f9de1e0a6c0,4800.0000000000,48842.1250000000,6521.4166666667,5.0000000000,0.0000000000,4.1197147549,16.9790399484,7815612.0625000000,3906250.0000000000
7168,32.447529,"vector_add(float*, float*, float*, int) [clone .kd]",2,0,1,3211093,3211093,307200,64,28672,0,12,12,32,64,0x0,0x7f497cd1c6c0,4800.0000000000,48842.1250000000,6521.4166666667,5.0000000000,0.0000000000,4.1102517253,16.9259889511,7815630.6250000000,3906250.0000000000
7424,32.281284,"vector_add(float*, float*, float*, int) [clone .kd]",2,0,1,3211348,3211348,307200,64,29696,0,12,12,32,64,0x0,0x7f973c1fa6c0,4800.0000000000,48842.1250000000,6521.4166666667,5.0000000000,0.0000000000,4.1045937630,16.8887111418,7815703.7500000000,3906250.0000000000
7680,32.288342,"vector_add(float*, float*, float*, int) [clone .kd]",2,0,1,3211613,3211613,307200,64,30720,0,12,12,32,64,0x0,0x7ff22c5ea6c0,4800.0000000000,48842.1250000000,6521.4166666667,5.0000000000,0.0000000000,4.1150849251,17.0623935918,7815686.3750000000,3906250.0000000000
7936,32.308807,"vector_add(float*, float*, float*, int) [clone .kd]",2,0,1,3211869,3211869,307200,64,31744,0,12,12,32,64,0x0,0x7f240bf566c0,4800.0000000000,48842.1250000000,6521.4166666667,5.0000000000,0.0000000000,4.1135085954,17.1266749852,7815569.0000000000,3906250.0000000000
8192,32.369133,"vector_add(float*, float*, float*, int) [clone .kd]",2,0,1,3212138,3212138,307200,64,32768,0,12,12,32,64,0x0,0x7feea75ec6c0,4800.0000000000,48842.1250000000,6521.4166666667,5.0000000000,0.0000000000,4.1084478923,16.8509829813,7815724.3750000000,3906250.0000000000
8704,61.133003,"vector_add(float*, float*, float*, int) [clone .kd]",2,0,1,3212408,3212408,307200,64,34816,0,12,12,32,64,0x0,0x7f54a83fc6c0,4800.0000000000,48842.1250000000,6521.4166666667,5.0000000000,0.0000000000,2.1540002612,9.7875944109,7815850.6250000000,3906250.0000000000
9216,61.106544,"vector_add(float*, float*, float*, int) [clone .kd]",2,0,1,3212655,3212655,307200,64,36864,0,12,12,32,64,0x0,0x7f3784d0c6c0,4800.0000000000,48842.1250000000,6521.4166666667,5.0000000000,0.0000000000,2.1544856046,9.7820202485,7815768.7500000000,3906250.0000000000
9728,61.029957,"vector_add(float*, float*, float*, int) [clone .kd]",2,0,1,3212924,3212924,307200,64,38912,0,12,12,32,64,0x0,0x7f72313a26c0,4800.0000000000,48842.1250000000,6521.4166666667,5.0000000000,0.0000000000,2.1542150318,9.7924416659,7815853.2500000000,3906250.0000000000
10240,61.108345,"vector_add(float*, float*, float*, int) [clone .kd]",2,0,1,3213173,3213173,307200,64,40960,0,12,12,32,64,0x0,0x7fe4c83166c0,4800.0000000000,48842.1250000000,6521.4166666667,5.0000000000,0.0000000000,2.1552567176,9.7915480112,7815769.7500000000,3906250.0000000000
10752,61.150105,"vector_add(float*, float*, float*, int) [clone .kd]",2,0,1,3213421,3213421,307200,64,43008,0,12,12,32,64,0x0,0x7efc9e5c66c0,4800.0000000000,48842.1250000000,6521.4166666667,5.0000000000,0.0000000000,2.1542077637,9.7868701640,7815799.6875000000,3906250.0000000000
11264,61.169621,"vector_add(float*, float*, float*, int) [clone .kd]",2,0,1,3213671,3213671,307200,64,45056,0,12,12,32,64,0x0,0x7f1b241b66c0,4800.0000000000,48842.1250000000,6521.4166666667,5.0000000000,0.0000000000,2.1542811128,9.7910125747,7815906.5000000000,3906250.0000000000
11776,61.108479,"vector_add(float*, float*, float*, int) [clone .kd]",2,0,1,3213919,3213919,307200,64,47104,0,12,12,32,64,0x0,0x7f8e44a526c0,4800.0000000000,48842.1250000000,6521.4166666667,5.0000000000,0.0000000000,2.1534223054,9.7849625804,7815782.4375000000,3906250.0000000000
12288,61.035542,"vector_add(float*, float*, float*, int) [clone .kd]",2,0,1,3214165,3214165,307200,64,49152,0,12,12,32,64,0x0,0x7f6a89bec6c0,4800.0000000000,48842.1250000000,6521.4166666667,5.0000000000,0.0000000000,2.1516646345,9.7737277559,7815780.6250000000,3906250.0000000000
12800,61.149616,"vector_add(float*, float*, float*, int) [clone .kd]",2,0,1,3214412,3214412,307200,64,51200,0,12,12,32,64,0x0,0x7f37a1bbc6c0,4800.0000000000,48842.1250000000,6521.4166666667,5.0000000000,0.0000000000,2.1547769442,9.7881154754,7815754.8125000000,3906250.0000000000
13312,61.10672,"vector_add(float*, float*, float*, int) [clone .kd]",2,0,1,3214657,3214657,307200,64,53248,0,12,12,32,64,0x0,0x7f7294bea6c0,4800.0000000000,48842.1250000000,6521.4166666667,5.0000000000,0.0000000000,2.1553191771,9.7969985678,7815874.3750000000,3906250.0000000000
13824,61.174259,"vector_add(float*, float*, float*, int) [clone .kd]",2,0,1,3214912,3214912,307200,64,55296,0,12,12,32,64,0x0,0x7f6b420706c0,4800.0000000000,48842.1250000000,6521.4166666667,5.0000000000,0.0000000000,2.1554814413,9.7886334026,7815777.5000000000,3906250.0000000000
14336,61.143242,"vector_add(float*, float*, float*, int) [clone .kd]",2,0,1,3215171,3215171,307200,64,57344,0,12,12,32,64,0x0,0x7efc8831c6c0,4800.0000000000,48842.1250000000,6521.4166666667,5.0000000000,0.0000000000,2.1549034986,9.7953662270,7815796.2500000000,3906250.0000000000
14848,61.167835,"vector_add(float*, float*, float*, int) [clone .kd]",2,0,1,3215422,3215422,307200,64,59392,0,12,12,32,64,0x0,0x7f8f9b71e6c0,4800.0000000000,48842.1250000000,6521.4166666667,5.0000000000,0.0000000000,2.1535602373,9.7831146158,7815840.0625000000,3906250.0000000000
15360,61.008961,"vector_add(float*, float*, float*, int) [clone .kd]",2,0,1,3215681,3215681,307200,64,61440,0,12,12,32,64,0x0,0x7fb6d40de6c0,4800.0000000000,48842.1250000000,6521.4166666667,5.0000000000,0.0000000000,2.1545242362,9.7870747877,7815806.9375000000,3906250.0000000000
15872,61.046257,"vector_add(float*, float*, float*, int) [clone .kd]",2,0,1,3215948,3215948,307200,64,63488,0,12,12,32,64,0x0,0x7f69927d86c0,4800.0000000000,48842.1250000000,6521.4166666667,5.0000000000,0.0000000000,2.1533914981,9.7793362414,7815698.8750000000,3906250.0000000000
16384,61.105598,"vector_add(float*, float*, float*, int) [clone .kd]",2,0,1,3216203,3216203,307200,64,65536,0,12,12,32,64,0x0,0x7fc79c3526c0,4800.0000000000,48842.1250000000,6521.4166666667,5.0000000000,0.0000000000,2.1545614912,9.7938085596,7815895.8125000000,3906250.0000000000
